,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
57,Toronto Raptors,82,59,23,0.72,48.4,111.7,41.3,87.4,47.2,11.8,33,35.8,17.3,21.8,79.4,9.8,34.2,44,24.3,13.4,7.6,6.1,4.9,21.7,19.9,7.8,2017-18
58,Utah Jazz,82,48,34,0.585,48.2,104.1,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9,34.2,43.3,22.4,14.7,8.6,5.1,4.6,19.6,20.5,4.3,2017-18
59,Washington Wizards,82,43,39,0.524,48.4,106.6,39.9,85.6,46.7,9.9,26.5,37.5,16.8,21.8,77.2,10,33.1,43.1,25.2,14.6,7.9,4.3,4.7,21.3,20,0.6,2017-18
60,Atlanta Hawks,82,43,39,0.524,48.5,103.2,38.1,84.4,,,,,,,,,,,,,,,,,,,
61,Boston Celtics,82,53,29,0.646,48.2,108,38.6,85.1,,,,,,,,,,,,,,,,,,,
62,Brooklyn Nets,82,20,62,0.244,48.2,105.8,37.8,85.2,,,,,,,,,,,,,,,,,,,
63,Charlotte Hornets,82,36,46,0.439,48.4,104.9,37.7,85.4,,,,,,,,,,,,,,,,,,,
64,Chicago Bulls,82,41,41,0.5,48.2,102.9,38.6,87.1,,,,,,,,,,,,,,,,,,,
65,Cleveland Cavaliers,82,51,31,0.622,48.5,110.3,39.9,84.9,,,,,,,,,,,,,,,,,,,
66,Dallas Mavericks,82,33,49,0.402,48.2,97.9,36.2,82.3,,,,,,,,,,,,,,,,,,,
67,Denver Nuggets,82,40,42,0.488,48.2,111.7,41.2,87.7,,,,,,,,,,,,,,,,,,,
68,Detroit Pistons,82,37,45,0.451,48.3,101.3,39.9,88.8,,,,,,,,,,,,,,,,,,,
69,Golden State Warriors,82,67,15,0.817,48.2,115.9,43.1,87.1,,,,,,,,,,,,,,,,,,,
70,Houston Rockets,82,55,27,0.671,48.2,115.3,40.3,87.2,,,,,,,,,,,,,,,,,,,
71,Indiana Pacers,82,42,40,0.512,48.4,105.1,39.3,84.5,,,,,,,,,,,,,,,,,,,
72,LA Clippers,82,51,31,0.622,48.2,108.7,39.5,83.2,,,,,,,,,,,,,,,,,,,
73,Los Angeles Lakers,82,26,56,0.317,48.1,104.6,39.3,87.4,,,,,,,,,,,,,,,,,,,
74,Memphis Grizzlies,82,43,39,0.524,48.5,100.5,36.4,83.6,,,,,,,,,,,,,,,,,,,
75,Miami Heat,82,41,41,0.5,48.2,103.2,39,85.8,,,,,,,,,,,,,,,,,,,
76,Milwaukee Bucks,82,42,40,0.512,48.2,103.6,38.8,81.9,,,,,,,,,,,,,,,,,,,
77,Minnesota Timberwolves,82,31,51,0.378,48.3,105.6,39.5,84.4,,,,,,,,,,,,,,,,,,,
78,New Orleans Pelicans,82,34,48,0.415,48.5,104.3,39.1,87,,,,,,,,,,,,,,,,,,,
79,New York Knicks,82,31,51,0.378,48.4,104.3,39.6,88.5,,,,,,,,,,,,,,,,,,,
80,Oklahoma City Thunder,82,47,35,0.573,48.3,106.6,39.5,87.4,,,,,,,,,,,,,,,,,,,
81,Orlando Magic,82,29,53,0.354,48.3,101.1,38.3,87,,,,,,,,,,,,,,,,,,,
82,Philadelphia 76ers,82,28,54,0.341,48.4,102.4,37.7,85.3,,,,,,,,,,,,,,,,,,,
83,Phoenix Suns,82,24,58,0.293,48.4,107.7,39.9,88.5,,,,,,,,,,,,,,,,,,,
84,Portland Trail Blazers,82,41,41,0.5,48.6,107.9,39.5,86.1,,,,,,,,,,,,,,,,,,,
85,Sacramento Kings,82,32,50,0.39,48.5,102.8,37.9,82.1,,,,,,,,,,,,,,,,,,,
86,San Antonio Spurs,82,61,21,0.744,48.3,105.3,39.3,83.7,,,,,,,,,,,,,,,,,,,
87,Toronto Raptors,82,51,31,0.622,48.2,106.9,39.2,84.4,,,,,,,,,,,,,,,,,,,
88,Utah Jazz,82,51,31,0.622,48.2,100.7,37,79.5,,,,,,,,,,,,,,,,,,,
89,Washington Wizards,82,49,33,0.598,48.4,109.2,41.3,87,,,,,,,,,,,,,,,,,,,
90,Atlanta Hawks,82,48,34,0.585,48.4,102.8,38.6,84.4,,,,,,,,,,,,,,,,,,,
91,Boston Celtics,82,48,34,0.585,48.2,105.7,39.2,89.2,,,,,,,,,,,,,,,,,,,
92,Brooklyn Nets,82,21,61,0.256,48.2,98.6,38.2,84.4,,,,,,,,,,,,,,,,,,,
93,Charlotte Hornets,82,48,34,0.585,48.4,103.4,37,84.4,,,,,,,,,,,,,,,,,,,
94,Chicago Bulls,82,42,40,0.512,48.5,101.6,38.6,87.4,,,,,,,,,,,,,,,,,,,
95,Cleveland Cavaliers,82,57,25,0.695,48.4,104.3,38.7,84,,,,,,,,,,,,,,,,,,,
96,Dallas Mavericks,82,42,40,0.512,48.8,102.3,37.4,84.1,,,,,,,,,,,,,,,,,,,
97,Denver Nuggets,82,33,49,0.402,48.4,101.9,37.7,85.4,,,,,,,,,,,,,,,,,,,
98,Detroit Pistons,82,44,38,0.537,48.5,102,37.9,86.4,,,,,,,,,,,,,,,,,,,
99,Golden State Warriors,82,73,9,0.89,48.5,114.9,42.5,87.3,,,,,,,,,,,,,,,,,,,
100,Houston Rockets,82,41,41,0.5,48.4,106.5,37.7,83.5,,,,,,,,,,,,,,,,,,,
101,Indiana Pacers,82,45,37,0.549,48.5,102.2,38.3,85.2,,,,,,,,,,,,,,,,,,,
102,LA Clippers,82,53,29,0.646,48.4,104.5,38.3,82.4,,,,,,,,,,,,,,,,,,,
103,Los Angeles Lakers,82,17,65,0.207,48.1,97.3,35.1,84.8,,,,,,,,,,,,,,,,,,,
104,Memphis Grizzlies,82,42,40,0.512,48.4,99.1,36.8,83.6,,,,,,,,,,,,,,,,,,,
105,Miami Heat,82,48,34,0.585,48.4,100,38.4,81.7,,,,,,,,,,,,,,,,,,,
106,Milwaukee Bucks,82,33,49,0.402,48.4,99,38.4,82.2,,,,,,,,,,,,,,,,,,,
107,Minnesota Timberwolves,82,29,53,0.354,48.5,102.4,37.7,81.3,,,,,,,,,,,,,,,,,,,
108,New Orleans Pelicans,82,30,52,0.366,48.2,102.7,38.5,85.9,,,,,,,,,,,,,,,,,,,
109,New York Knicks,82,32,50,0.39,48.3,98.4,36.9,84,,,,,,,,,,,,,,,,,,,
110,Oklahoma City Thunder,82,55,27,0.671,48.4,110.2,41.1,86.4,,,,,,,,,,,,,,,,,,,
111,Orlando Magic,82,35,47,0.427,48.5,102.1,39.5,86.8,,,,,,,,,,,,,,,,,,,
112,Philadelphia 76ers,82,10,72,0.122,48.3,97.4,36.2,84,,,,,,,,,,,,,,,,,,,
113,Phoenix Suns,82,23,59,0.28,48.1,100.9,37.2,85.6,,,,,,,,,,,,,,,,,,,
114,Portland Trail Blazers,82,44,38,0.537,48.3,105.1,38.6,85.9,,,,,,,,,,,,,,,,,,,
115,Sacramento Kings,82,33,49,0.402,48.3,106.6,40,86.4,,,,,,,,,,,,,,,,,,,
116,San Antonio Spurs,82,67,15,0.817,48.1,103.5,40.1,82.9,,,,,,,,,,,,,,,,,,,
117,Toronto Raptors,82,56,26,0.683,48.2,102.7,36.7,81.3,,,,,,,,,,,,,,,,,,,
118,Utah Jazz,82,40,42,0.488,48.7,97.7,36.1,80.4,,,,,,,,,,,,,,,,,,,
119,Washington Wizards,82,41,41,0.5,48.2,104.1,39.5,85.8,,,,,,,,,,,,,,,,,,,
